,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11596,53955075,39.0,6.3359375,30.5234375,0.0,-0.140625,-0.015625,0.0,1.0,4.0,29.953125,0.0,-0.0015249999999999999,0.0
11597,54059578,39.0,6.2265625,30.65625,0.078125,-0.1015625,-0.0078125,0.0,2.0,5.0,31.7421875,0.0,-0.001464,0.0
11598,54159157,39.0,6.140625,30.75,0.1328125,-0.0625,0.0,0.0,2.0,6.0,31.7421875,0.0,-0.001464,0.0
11599,54255906,39.0,6.0703125,30.8203125,0.1796875,-0.015625,0.0,0.0,2.0,7.0,31.7421875,0.0,-0.001403,0.0
11600,54355725,39.0,6.0078125,30.875,0.2109375,0.015625,0.0,0.0,2.0,8.0,31.7421875,0.0,-0.001403,0.0
11601,54456744,39.0,5.9453125,30.921875,0.234375,0.0625,0.0078125,0.0,2.0,9.0,31.7421875,0.0,-0.001403,0.0
11602,54555277,39.0,5.890625,30.953125,0.25,0.1015625,0.015625,0.0,2.0,10.0,31.7421875,0.0,-0.0013419999999999999,6.1e-05
11603,54656686,39.0,5.828125,30.984375,0.265625,0.140625,0.0234375,0.0,2.0,11.0,31.7421875,0.0,-0.0013419999999999999,6.1e-05
11604,54760355,39.0,5.7890625,31.015625,0.2734375,0.171875,0.03125,0.0,2.0,12.0,31.7421875,0.0,-0.0013419999999999999,6.1e-05
11605,54865674,39.0,5.765625,31.015625,0.2734375,0.171875,0.03125,0.0,3.0,12.0,0.0,0.0,-0.0013419999999999999,6.1e-05
11606,55359713,39.0,5.609375,31.078125,0.28125,0.2265625,0.0390625,0.0,3.0,15.0,0.0,0.0,-0.001281,6.1e-05
11607,55466262,39.0,5.59375,31.078125,0.28125,0.21875,0.0390625,0.0,4.0,16.0,31.7421875,0.0,-0.001281,6.1e-05
11608,55558741,39.0,5.5859375,31.09375,0.28125,0.2109375,0.03125,0.0,4.0,17.0,31.7421875,0.0,-0.001281,6.1e-05
